id,datetime,weekday,hour,minutes,day,month,year,day_period,seasson,acc_cause,meteo_condition,road_condition,nr_injured,nr_dead,nr_vehicles,lat,lon
247,2023-02-19 02:05:00,6,2,5,19,2,2023,Late Night,Winter,"Neasigurarea la schimbarea benzii sau direcției de mers, viraj incorect",Înnourat,Umedă,2,0,2,230925.65286375,210735.96330018
248,2023-02-19 23:36:00,6,23,36,19,2,2023,Late Evening,Winter,"Viteză neadecvată vizibilității, condițiilor, situației rutiere",Ploaie,Umedă,2,0,1,177840.1991719,276816.94450765
249,2023-02-20 18:13:00,0,18,13,20,2,2023,Evening,Winter,Neacordarea priorității altor autovehicule,Timp senin,Uscată,1,0,1,233446.11590765,210367.3735221
250,2023-02-19 17:10:00,6,17,10,19,2,2023,Early Afternoon,Winter,"Stare de ebrietate alcoolică, adormire la volan",Timp senin,Umedă,1,0,1,200432.83630133,60747.55939216
251,2023-02-20 11:05:00,0,11,5,20,2,2023,Late Morning,Winter,"Viteză neadecvată vizibilității, condițiilor, situației rutiere",Timp senin,Uscată,1,0,1,228087.23130712,202197.20013825
252,2023-02-19 15:50:00,6,15,50,19,2,2023,Early Afternoon,Winter,Traversare neregulamentară a drumului de către pietoni,Timp senin,Uscată,2,0,1,272434.25155476,160867.4080154
253,2023-02-19 09:50:00,6,9,50,19,2,2023,Late Morning,Winter,Neacordarea priorității pietonilor,Timp senin,Uscată,3,0,1,164286.00214754,291599.8709
254,2023-02-20 08:25:00,0,8,25,20,2,2023,Morning,Winter,"Viteză neadecvată vizibilității, condițiilor, situației rutiere",Timp senin,Ghețuș,2,0,1,203971.93114296,248468.00249152
255,2023-02-21 09:55:00,1,9,55,21,2,2023,Late Morning,Winter,Traversare neregulamentară a drumului de către pietoni,Timp senin,Uscată,0,1,1,234921.41502448,211449.96000495
256,2023-02-21 16:41:00,1,16,41,21,2,2023,Early Afternoon,Winter,"Viteză neadecvată vizibilității, condițiilor, situației rutiere",Timp senin,Uscată,2,1,3,235150.40174307,217440.55059312
257,2023-02-22 08:44:00,2,8,44,22,2,2023,Morning,Winter,Neacordarea priorității altor autovehicule,Timp senin,Uscată,1,0,2,225543.18746887,206546.46313515
258,2023-02-23 18:00:00,3,18,0,23,2,2023,Evening,Winter,"Viteză neadecvată vizibilității, condițiilor, situației rutiere",Timp senin,Uscată,1,0,1,233272.43885053,209953.55331987
259,2023-02-23 18:10:00,3,18,10,23,2,2023,Evening,Winter,"Neasigurarea la schimbarea benzii sau direcției de mers, viraj incorect",Înnourat,Uscată,1,0,2,154453.95673898,230556.92209086
260,2023-02-22 08:07:00,2,8,7,22,2,2023,Morning,Winter,Neacordarea priorității pietonilor,Timp senin,Uscată,1,0,1,232663.52185113,209311.78891922
261,2023-02-22 14:10:00,2,14,10,22,2,2023,Afternoon,Winter,Nerespectarea distanței dintre vehicule,Timp senin,Uscată,1,0,2,237183.38200096,203243.97693911
262,2023-02-23 16:15:00,3,16,15,23,2,2023,Early Afternoon,Winter,Depășire neregulamentară,Înnourat,Uscată,1,0,2,164413.51206879,295312.75267088
263,2023-02-22 14:37:00,2,14,37,22,2,2023,Afternoon,Winter,Neacordarea priorității altor autovehicule,Timp senin,Uscată,1,0,2,269182.71244293,193719.25333075
264,2023-02-24 13:00:00,4,13,0,24,2,2023,Afternoon,Winter,Neacordarea priorității altor autovehicule,Timp senin,Uscată,1,0,2,233387.76240642,264978.95340344
265,2023-02-25 18:11:00,5,18,11,25,2,2023,Evening,Winter,"Viteză neadecvată vizibilității, condițiilor, situației rutiere",Timp senin,Uscată,1,0,1,230922.47412265,245478.69869605
266,2023-02-25 23:01:00,5,23,1,25,2,2023,Late Evening,Winter,"Neasigurarea la schimbarea benzii sau direcției de mers, viraj incorect",Timp senin,Uscată,1,0,2,234996.76807212,208032.15334534
267,2023-02-25 17:00:00,5,17,0,25,2,2023,Early Afternoon,Winter,Neacordarea priorității pietonilor,Ploaie,Umedă,1,0,1,192805.26702619,335930.76531286
268,2023-02-25 12:00:00,5,12,0,25,2,2023,Afternoon,Winter,"Neasigurarea la schimbarea benzii sau direcției de mers, viraj incorect",Timp senin,Uscată,1,0,2,231300.65378413,211136.59643578
269,2023-02-26 01:15:00,6,1,15,26,2,2023,Late Night,Winter,"Viteză neadecvată vizibilității, condițiilor, situației rutiere",Timp senin,Uscată,0,1,1,237701.9498844,205253.12299229
270,2023-02-26 15:46:00,6,15,46,26,2,2023,Early Afternoon,Winter,Neacordarea priorității altor autovehicule,Înnourat,Umedă,1,0,2,234447.67409984,204465.02846024
271,2023-02-26 16:00:00,6,16,0,26,2,2023,Early Afternoon,Winter,"Viteză neadecvată vizibilității, condițiilor, situației rutiere",Timp senin,Uscată,2,0,2,202451.70744718,59821.14255055
272,2023-02-27 19:24:00,0,19,24,27,2,2023,Evening,Winter,Depășire neregulamentară,Înnourat,Umedă,2,0,2,156782.04798692,319543.52797253
273,2023-02-27 00:01:00,0,0,1,27,2,2023,Late Night,Winter,Neacordarea priorității altor autovehicule,Înnourat,Umedă,2,0,2,236386.34259923,205171.09816857
